id	cufflinks_ath_buds_rep1
AT1G01010	5.07564
AT1G01020	10.1534
AT1G01030	5.65535
AT1G01040	13.2121
AT1G01046	35.9247
AT1G01050	67.5135
AT1G01060	2.6362
AT1G01070	5.41675
AT1G01073	0
AT1G01080	45.3559
AT1G01090	145.038
AT1G01100	547.465
AT1G01110	12.3584
AT1G01115	0
AT1G01120	54.3351
AT1G01130	14.1095
AT1G01140	43.7724
AT1G01150	0.909282
AT1G01160	49.7146
AT1G01170	122.402
AT1G01180	2.65752
AT1G01183	0
AT1G01190	0.368153
AT1G01200	0.56894
AT1G01210	16.4431
AT1G01220	12.3224
AT1G01225	5.6616
AT1G01230	42.5038
AT1G01240	39.459
AT1G01250	10.0868
AT1G01260	16.7567
AT1G01270	0
AT1G01280	12.1483
AT1G01290	20.3795
AT1G01300	125.202
AT1G01305	18.1746
AT1G01310	24.5961
AT1G01320	60.2232
AT1G01340	0.738717
AT1G01350	15.9874
AT1G01355	0.762722
AT1G01360	18.8147
AT1G01370	8.8671
AT1G01380	1.01097
AT1G01390	0.497947
AT1G01400	0.470558
AT1G01410	0
AT1G01420	0.280529
AT1G01430	32.5566
AT1G01440	10.0711
AT1G01448	15.9202
AT1G01450	0.757917
AT1G01453	0.0765187
AT1G01460	7.33571
AT1G01470	65.8067
AT1G01471	0
AT1G01480	4.00915
AT1G01490	47.4813
AT1G01500	27.0772
AT1G01510	37.33
AT1G01520	0.22347
AT1G01530	0
AT1G01540	36.1391
AT1G01550	122.955
AT1G01560	2.52358
AT1G01570	9.16128
AT1G01580	2.64666
AT1G01590	3.71057
AT1G01600	27.4119
AT1G01610	68.9361
AT1G01620	486.823
AT1G01630	56.9618
AT1G01640	3.16118
AT1G01650	39.6168
AT1G01660	1.62138
AT1G01670	3.05829
AT1G01680	0.387748
AT1G01690	6.89823
AT1G01695	0.268915
AT1G01700	2.82606
AT1G01710	16.2729
AT1G01720	33.8051
AT1G01725	43.2908
AT1G01730	39.0723
AT1G01740	3.57557
AT1G01750	4.36928
AT1G01760	4.49777
AT1G01770	16.7571
AT1G01780	38.9865
AT1G01790	23.0417
AT1G01800	57.4127
AT1G01810	2.20109
AT1G01820	61.8951
AT1G01830	22.695
AT1G01840	6.28768
AT1G01860	9.2953
AT1G01870	0
AT1G01880	5.48634
AT1G01890	0
AT1G01900	10.2597
AT1G01910	49.6234
AT1G01920	15.5702
AT1G01930	10.8629
AT1G01940	18.0098
AT1G01950	9.79252
AT1G01960	34.0116
AT1G01970	17.9881
AT1G01980	27.3764
AT1G01990	25.1326
AT1G02000	27.3017
AT1G02010	8.95753
AT1G02020	9.70308
AT1G02030	0.553716
AT1G02040	12.6301
AT1G02050	69.1546
AT1G02060	9.39699
AT1G02065	29.923
AT1G02070	17.1185
AT1G02074	7.43573
AT1G02080	32.7807
AT1G02090	38.7017
AT1G02100	24.9049
AT1G02110	21.5657
AT1G02120	31.296
AT1G02130	49.8488
AT1G02136	2.8968
AT1G02140	158.226
AT1G02145	13.5125
AT1G02150	57.0588
AT1G02160	60.237
AT1G02170	23.9571
AT1G02180	17.6267
AT1G02190	104.52
AT1G02205	321.213
AT1G02210	0
AT1G02220	1.60622
AT1G02228	0
AT1G02230	0.336556
AT1G02250	0.0833797
AT1G02260	14.3773
AT1G02270	14.4509
AT1G02280	88.2844
